ident,type,name,iata_code
SMCI,small_airport,Coeroeni Airport,
SMCO,small_airport,Totness Airport,TOT
SMCT,small_airport,Cottica Airstrip,
SMDA,small_airport,Drietabbetje Airport,DRJ
SMDK,small_airport,Donderskamp Airstrip,
SMDU,small_airport,Alalapadu Airstrip,
SMGA,small_airport,Gakaba Airstrip,
SMGH,small_airport,Godo Holo Airstrip,
SMGR,small_airport,Gross Rosebel Airstrip,
SMH,small_airport,Sapmanga Airport,SMH
SMHA,small_airport,Henri Alwies Airstrip,
SMJA,small_airport,Jarikaba Airstrip,
SMJP,large_airport,Johan Adolf Pengel International Airport,PBM
SMKA,small_airport,Kabalebo Airport,
SMKE,small_airport,Kayser Airport,
SMLA,small_airport,Lawa Anapaike Airstrip,
SMLI,small_airport,Lelygebergte Airstrip,
SMLT,small_airport,Langatabbetje Airstrip,
SMMO,small_airport,Moengo Airstrip,MOJ
SMNI,small_airport,Nieuw Nickerie - Major Henk Fernandes Airport,ICK
SMOL,small_airport,Oelemari Airport,
SMPA,small_airport,Vincent Fayks Airport,OEM
SMPE,small_airport,Poeketi Airstrip,
SMPG,small_airport,Poesoegroenoe(Pusugrunu) Airstrip,
SMPT,small_airport,Apetina Airstrip,
SMRA,small_airport,Ralleigh Airstrip,
SMRN,small_airport,Ragoebarsing Airstrip,
SMSI,small_airport,Sipaliwini Airport,
SMSK,small_airport,Sarakreek Airstrip,
SMSM,small_airport,Kwamalasoemoetoe Airport,
SMST,small_airport,Stoelmanseiland Airport,SMZ
SMTA,small_airport,Tabiki Airstrip,
SMTB,small_airport,Rudi Kappel Airport,
SMVG,small_airport,Vier Gebroeders Airstrip,
SMVO,small_airport,Avanavero Airstrip,
SMWA,small_airport,Wageningen Airstrip,AGI
SMZO,small_airport,Zorg en Hoop Airport,ORG
SN-0001,small_airport,Thiès Airport,
SN-0003,small_airport,Djilor Pout Pout Airport,
SN-0004,small_airport,Saly-Joseph Aerodrome,
SN00,small_airport,J Roesner Airport,
SN02,small_airport,Wright International Airport,
